"","x"
"505","K12244"
"506","K12573"
"507","K13821"
"508","K13993"
"509","K14298"
"510","K14445"
"511","K14605"
"512","K14606"
"513","K14652"
"514","K15633"
"515","K15976"
"516","K16052"
"517","K16150"
"518","K16710"
"519","K17108"
"520","K18534"
"521","K18640"
"522","K18911"
"523","K18912"
"524","K19170"
"525","K19221"
"526","K19360"
"527","K19613"
"528","K19837"
"529","K20024"
"530","K21231"
"531","K22705"
"532","K22895"
"533","K23269"
"534","K23743"
"535","K24157"
"536","K24411"
"537","K24936"
"538","K25151"
"539","K25380"
"540","K25570"
"541","K25587"
