"","gene_id","optR_FC"
"98","2607588544",-0.616929661875107
"99","2607588547",-0.667247475860242
"100","2607588602",-0.626745240187147
"101","2607588716",-0.81026411421301
"102","2607588717",-0.750435440568875
"103","2607588745",-1.14338343606614
"104","2607588774",-0.593806066108811
"105","2607588793",-0.404940623571634
"106","2607588843",-0.628817863523942
"107","2607588908",-0.554585608530179
"108","2607588909",-0.795294915740522
"109","2607588910",-0.647766363764596
"110","2607588912",-0.626432538879524
"111","2607588923",-0.816003204288819
"112","2607588924",-0.978463919609956
"113","2607588991",-0.628730330844946
"114","2607589046",-0.594574106376302
"115","2607589092",-0.515307357798336
"116","2607589093",-0.595990277039605
"117","2607589131",-0.561914444872019
"118","2607589147",-0.645765134191128
"119","2607589158",-0.788448010021554
"120","2607589182",-0.43429989254653
"121","2607589187",-0.839421190869944
"122","2607589206",-0.564725025098778
"123","2607589263",-0.75391231748452
"124","2607589277",-0.516042511623791
"125","2607589426",-0.499107458844525
"126","2607589487",-0.58808158516348
"127","2607589518",-0.331393683824534
"128","2607589603",-0.363350100434466
"129","2607589605",-0.54748549258802
"130","2607589622",-0.853239055915103
"131","2607589735",-0.597085229170927
"132","2607589826",-0.690851024803589
"133","2607589830",-1.49658540944958
"134","2607589833",-0.690715330454215
"135","2607589841",-0.629291932481527
"136","2607589852",-0.966858022098791
"137","2607589857",-1.04190220086319
"138","2607589898",-0.514259775408505
"139","isiA",-0.854295799750066
"140","K00036",-0.776225673828996
"141","K00128",-0.805540699667667
"142","K00218",-0.58570491965418
"143","K00239",-0.680288446623724
"144","K00457",-1.1653450621298
"145","K00485",-0.570643820263916
"146","K00556",-0.760690188806083
"147","K00640",-0.942893387958431
"148","K00682",-1.25570327392062
"149","K00763",-0.766665443294231
"150","K00845",-0.60798781186722
"151","K00989",-0.872089526763307
"152","K01057",-0.317806422156585
"153","K01126",-0.380610192867722
"154","K01428",-0.561815323724605
"155","K01524",-0.536582474938784
"156","K01623",-0.988891794926485
"157","K01807",-0.409522357914935
"158","K01879",-0.336078917659685
"159","K01990",-0.48902264181818
"160","K02002",-0.273247904911364
"161","K02010",-0.372451661845534
"162","K02012",-0.753363082119195
"163","K02018",-1.3996162390159
"164","K02020",-0.759342007700804
"165","K02031",-0.346571482322685
"166","K02434",-0.510924939810275
"167","K02585",-0.892567059860809
"168","K02586",-0.75255017199526
"169","K02588",-0.8577915490868
"170","K02591",-0.609656984532128
"171","K02593",-0.404230171861134
"172","K02595",-0.529689992952762
"173","K02596",-0.677389427270341
"174","K02692",-0.337991648582048
"175","K02836",-0.537764937584459
"176","K02959",-0.33531544838365
"177","K03321",-0.72268115235524
"178","K03500",-1.0704467615505
"179","K03832",-0.853746873642361
"180","K03839",-0.702011687970811
