gene_id,KO,L22-1,L22-2,L22-3,R22-1,R22-2,R22-3,L27-1,L27-2,L27-3,R27-1,R27-2,R27-3,L32-1,L32-2,L32-3,R32-1,R32-2,R32-3
2641943336,NA,2,0,0,2,0,1,0,0,0,2,1,3,8,1,0,3,1,4
2641943337,NA,3,1,0,0,1,2,0,0,0,5,2,1,3,1,0,1,4,1
2641943338,NA,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943339,NA,21,6,2,11,16,11,4,4,0,27,16,15,17,7,6,6,13,12
2641943340,K03307,73,23,7,47,47,34,17,10,0,89,57,51,60,51,30,36,51,46
2641943341,NA,47,18,14,31,30,28,5,3,0,62,36,51,66,63,38,45,42,51
2641943342,K01652,1059,607,381,690,824,810,268,185,63,1215,1027,901,1311,1200,863,1102,1018,976
2641943343,K04751,465,173,78,280,315,385,36,40,2,817,550,478,517,451,224,248,336,242
2641943344,NA,7,0,0,5,1,8,0,2,0,3,6,5,2,4,2,2,2,1
2641943345,NA,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
2641943346,NA,0,0,0,0,2,0,1,0,0,1,0,1,3,2,1,0,1,1
2641943347,K11749,1193,497,253,684,780,866,291,185,64,1132,948,901,1077,890,626,720,754,663
2641943348,K10773,348,125,39,131,176,188,49,21,4,352,230,241,367,297,184,182,204,178
2641943349,K02954,3496,1733,778,2302,2408,2541,758,440,164,3243,2767,2587,2672,2184,1602,2569,2274,2311
2641943350,NA,53,23,12,29,27,43,11,10,1,86,44,47,75,65,31,67,79,67
2641943351,K00684,120,60,32,72,100,103,17,13,2,104,86,84,65,59,53,65,40,46
2641943352,K25223,220,107,49,152,164,156,55,30,10,329,240,216,318,290,193,187,210,222
2641943353,K25224,163,88,46,129,125,138,43,33,10,248,184,167,156,185,121,142,146,120
2641943354,NA,26,7,1,11,18,18,0,0,1,66,36,29,40,30,26,25,34,18
2641943355,K03325,193,92,44,108,157,144,51,35,11,463,302,260,411,341,274,289,308,212
2641943356,NA,89,54,24,44,54,62,21,9,3,91,68,63,99,76,59,50,70,71
2641943357,NA,100,49,16,56,73,58,33,19,12,107,78,58,106,82,55,61,63,58
2641943358,NA,372,156,52,194,228,346,54,36,8,552,355,332,399,344,216,227,275,233
2641943359,NA,41,15,4,17,27,27,1,6,0,71,29,28,31,34,12,13,16,11
2641943360,K01166,148,36,24,60,78,100,20,17,2,147,113,109,158,130,86,100,94,99
2641943361,K00091,15,6,5,14,4,14,5,2,1,19,13,10,28,16,9,13,10,5
2641943362,NA,50,14,17,21,33,22,8,9,3,45,26,24,81,56,33,47,30,51
2641943363,NA,20,8,4,6,14,8,3,2,2,26,13,21,34,36,21,14,14,15
2641943364,K07450,46,18,10,39,30,28,14,5,4,80,51,47,84,78,61,44,41,36
2641943365,K00284,7325,4573,2860,4233,5231,4619,1225,732,348,3074,3059,2794,4223,4172,2985,3163,2868,2987
2641943366,K07496,678,258,46,326,355,484,30,21,4,393,320,296,500,439,260,247,308,267
2641943367,NA,513,156,50,206,277,300,18,17,2,266,241,158,388,360,191,196,214,175
2641943368,NA,366,100,34,135,195,243,15,12,1,245,183,185,299,253,124,134,165,167
2641943369,NA,9,3,1,8,4,20,2,0,0,15,7,10,12,7,8,12,15,7
2641943370,NA,27,7,1,13,21,36,2,1,0,36,18,15,20,18,10,11,21,13
2641943371,NA,34,8,8,19,23,30,8,5,3,23,27,17,29,23,18,25,21,15
2641943372,NA,3,1,2,1,4,5,0,1,0,8,5,4,1,1,5,1,2,1
2641943373,NA,33,9,6,18,15,19,1,1,0,29,17,7,20,16,10,15,17,6
2641943374,NA,428,143,32,169,221,265,17,15,3,411,274,241,284,233,123,209,208,165
2641943375,NA,2405,1102,648,671,907,917,236,137,49,599,572,679,901,918,605,495,405,413
2641943376,NA,2561,1138,452,1057,1354,1394,259,146,43,1351,1090,1057,1099,1000,594,969,928,1009
2641943377,K03574,23,6,3,9,4,8,0,3,0,17,9,11,18,14,6,13,10,11
2641943378,NA,0,0,0,1,0,2,0,0,1,7,1,0,3,1,0,1,0,0
2641943379,NA,7,4,0,1,5,3,0,0,1,13,10,8,14,23,6,9,10,11
2641943380,NA,1,1,0,7,1,1,0,0,0,7,1,1,6,4,1,0,1,1
2641943381,NA,7,3,0,6,5,0,1,0,0,9,4,7,8,9,4,5,5,6
2641943382,K08479,1114,590,262,791,859,922,183,117,35,1358,823,949,659,644,474,560,698,672
2641943383,NA,257,100,35,120,151,146,36,19,5,256,179,165,280,245,168,133,177,145
2641943384,NA,391,145,64,187,228,255,30,19,5,282,221,192,338,276,117,100,177,150
2641943385,K06942,511,177,100,239,293,340,85,34,15,506,351,303,374,304,160,232,265,197
2641943386,K08972,107,44,22,49,46,71,8,12,4,97,81,61,64,66,40,40,38,48
2641943387,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943388,NA,1,1,0,3,0,1,0,0,0,2,2,2,2,0,1,1,0,2
2641943389,NA,2,1,0,1,5,4,0,0,1,2,0,5,3,4,1,5,3,1
2641943390,NA,2,0,0,3,0,2,0,0,0,4,0,3,2,1,1,0,1,1
2641943391,NA,4,0,0,1,0,2,0,0,0,1,2,2,1,3,0,1,1,0
2641943392,K03631,51,27,8,25,33,24,13,9,4,34,31,39,75,54,41,38,47,37
2641943393,NA,140,58,20,61,105,102,20,15,4,205,123,142,236,177,114,150,180,154
2641943394,NA,11,5,0,9,8,7,2,1,0,24,13,22,11,10,3,4,7,7
2641943395,K06381,70,34,19,85,67,85,40,11,10,240,130,136,187,139,100,94,97,97
2641943396,NA,2,0,0,2,1,2,0,0,0,11,2,5,6,2,3,3,7,0
2641943397,NA,6,2,0,6,2,5,1,0,0,9,2,7,21,17,6,7,5,0
2641943398,NA,0,0,2,0,2,0,0,0,0,2,2,2,2,2,0,1,0,1
2641943399,K00784,291,138,47,165,193,214,52,31,8,428,285,294,335,320,214,206,263,207
2641943400,NA,0,0,0,1,0,2,1,0,0,3,1,4,1,0,0,1,1,0
2641943401,NA,1,0,0,2,2,1,0,0,0,3,1,0,2,0,0,1,3,1
2641943402,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2
2641943403,NA,54,28,18,36,41,45,14,9,3,54,34,51,35,44,13,42,34,24
2641943404,NA,126,52,19,69,81,84,16,13,6,126,89,102,115,90,60,72,95,73
2641943405,NA,89,32,13,61,55,92,13,10,2,106,68,94,93,98,50,61,69,62
2641943406,NA,37,8,5,19,26,27,6,6,1,40,23,21,35,46,21,32,32,26
2641943407,NA,294,163,78,223,277,232,103,70,29,475,358,338,484,384,279,325,352,350
2641943408,NA,43,8,2,31,42,33,4,2,0,70,46,45,57,54,24,33,29,32
2641943409,NA,115,25,8,50,70,105,14,13,2,143,106,84,119,90,51,89,90,82
2641943410,NA,402,166,74,219,259,229,61,40,10,315,244,286,316,250,173,193,192,160
2641943411,K07171,254,100,12,146,127,216,16,15,1,469,344,325,384,271,136,156,209,146
2641943412,NA,151,65,8,107,112,153,16,18,2,318,223,224,227,173,108,157,148,138
2641943413,K06196,135,57,30,53,85,93,27,21,9,108,101,92,179,150,100,80,79,66
2641943414,K07399,256,103,54,109,152,185,34,23,8,198,144,165,333,260,176,133,150,138
2641943415,NA,24,17,13,23,20,17,7,6,3,48,31,37,75,57,30,36,41,35
2641943416,NA,39,15,8,25,25,20,13,9,2,68,37,43,72,54,36,38,46,31
2641943417,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2641943418,NA,19,8,2,29,23,29,1,1,0,84,33,49,45,35,27,49,39,34
2641943419,NA,0,2,0,2,2,1,1,0,0,8,4,3,6,2,3,2,1,0
2641943420,NA,34,25,23,63,71,71,46,33,21,163,143,112,108,84,69,116,144,115
2641943421,K04656,111,63,19,69,68,63,40,19,5,197,138,128,132,122,106,139,126,139
2641943422,K04653,0,3,0,1,4,0,0,0,0,10,6,5,7,3,4,3,3,2
2641943423,K04654,6,6,0,6,4,8,4,0,2,26,18,6,7,7,8,7,14,14
2641943424,K04652,151,82,48,102,110,126,20,10,6,68,68,45,65,61,45,66,57,59
2641943425,K10540,125,55,20,98,86,101,22,11,5,221,113,117,120,90,71,105,92,95
2641943426,NA,26,10,2,23,14,30,3,6,2,48,28,30,36,29,19,26,31,21
2641943427,NA,2,1,0,2,3,6,1,0,0,2,2,3,2,4,1,1,0,0
2641943428,K10541,41,15,3,39,35,42,14,8,0,99,40,43,43,43,26,31,20,21
2641943429,K04651,52,24,12,27,29,21,1,6,0,14,11,3,20,15,11,16,16,19
2641943430,NA,13,1,1,4,9,4,0,0,0,23,7,11,11,2,2,1,4,1
2641943431,K04655,169,104,56,92,101,112,27,19,13,77,57,46,53,44,60,46,44,53
2641943432,NA,0,0,0,0,0,3,0,0,0,2,1,0,1,4,1,0,1,0
2641943433,NA,86,31,17,30,43,46,16,8,6,51,46,43,69,60,31,36,38,37
2641943434,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2641943435,NA,70,35,3,128,104,206,22,18,0,992,457,398,273,247,144,180,252,218
2641943436,K01599,1076,593,280,1718,1700,2057,632,395,173,7356,4180,3845,3087,2451,1870,3549,3708,3303
2641943437,NA,35,11,2,15,12,17,0,3,0,34,21,26,56,40,22,26,23,28
2641943438,NA,41,21,9,16,12,21,4,5,0,36,28,30,53,41,36,42,45,46
2641943439,NA,86,42,19,29,45,48,25,16,5,115,69,58,131,140,64,130,112,106
2641943440,K03327,13,2,2,4,1,6,1,0,0,10,11,10,15,9,4,5,9,11
2641943441,NA,56,19,5,22,20,18,11,4,1,54,29,30,41,35,32,25,34,24
2641943442,NA,8,2,1,8,5,6,0,0,0,10,6,8,12,8,2,14,8,8
2641943443,NA,0,2,0,1,0,1,0,0,0,4,2,1,1,1,0,0,1,0
2641943444,NA,28,16,9,6,11,14,10,7,5,28,20,8,26,22,20,29,12,18
2641943445,NA,102,71,40,61,67,59,25,23,11,116,72,63,135,112,83,80,92,97
2641943446,NA,128,52,23,40,83,71,17,10,1,102,96,62,144,100,61,58,73,81
2641943447,NA,21,7,7,4,11,12,2,2,0,9,9,8,25,20,8,6,9,10
2641943448,K01869,383,238,146,272,320,250,143,104,37,552,492,568,495,475,373,413,428,363
2641943449,K00612,356,201,161,348,412,398,154,99,57,595,447,374,443,437,304,405,427,393
2641943450,K23504,5,6,7,14,7,9,3,9,11,32,12,13,13,5,11,12,11,5
2641943451,K22205,60,29,9,18,25,37,3,4,0,46,41,15,44,35,32,15,34,31
2641943452,NA,363,149,47,166,206,206,62,23,5,262,188,179,363,316,228,197,212,212
2641943453,NA,94,51,21,42,40,47,29,9,1,28,32,41,100,71,81,53,57,46
2641943454,NA,83,35,14,31,39,49,9,3,5,27,25,35,82,85,69,42,40,37
2641943455,K09928,142,40,17,87,80,101,21,10,2,175,95,80,175,166,68,78,82,95
2641943456,NA,322,102,52,155,200,168,68,38,14,315,220,201,415,380,238,194,285,222
2641943457,K03650,38,18,4,16,26,28,11,10,2,60,43,37,92,82,55,47,44,36
2641943458,NA,2599,1163,441,1452,1732,1886,613,311,110,3598,2217,2039,2986,2398,1494,2063,2163,1996
2641943459,K04068,159,57,50,59,53,66,33,22,7,99,66,39,215,206,138,101,120,165
2641943460,K12988,66,32,16,17,30,37,16,6,3,50,32,46,56,59,39,59,55,59
2641943461,NA,22,8,2,9,12,16,2,1,2,28,9,5,18,21,9,18,13,14
2641943462,NA,111,49,24,53,60,63,17,5,0,102,67,103,130,100,60,75,75,74
2641943463,K08106,146,59,22,44,85,76,27,3,2,85,65,62,104,102,68,77,78,68
2641943464,NA,17,5,1,3,8,10,0,0,0,9,15,14,18,20,7,6,9,10
2641943465,K08106,84,23,13,31,49,42,16,10,1,45,52,42,79,64,28,51,48,37
2641943466,NA,65,18,4,22,19,18,1,2,1,34,22,18,85,75,32,28,21,17
2641943467,NA,12,3,4,11,7,9,0,0,0,17,3,16,17,13,6,2,6,8
2641943468,NA,1,3,3,4,5,1,1,0,1,8,3,5,4,7,3,5,3,1
2641943469,K07391,135,47,31,83,109,104,20,19,7,264,214,218,234,229,147,163,154,132
2641943470,K02503,353,152,73,260,263,266,114,52,30,423,345,280,435,362,246,300,328,242
2641943471,NA,13891,5395,1853,5298,6907,7829,1771,956,246,14755,8460,7051,15550,13248,8164,7764,8959,7995
2641943472,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943473,NA,273,81,28,129,122,187,31,18,4,242,203,167,237,210,121,153,151,125
2641943474,K10563,155,63,17,102,107,162,24,7,3,297,227,201,265,233,128,175,207,144
2641943475,K02693,1430,543,190,847,877,1128,377,203,70,4339,2632,2323,2632,1876,1144,1749,2021,1972
2641943476,NA,210,103,31,67,98,96,41,29,5,160,158,100,238,242,123,111,108,117
2641943477,NA,535,252,91,222,272,303,127,74,21,492,319,318,750,652,461,417,419,416
2641943478,K15633,1286,566,261,609,814,805,231,155,45,1190,808,836,985,816,549,740,791,667
2641943479,K03075,344,181,81,221,211,219,72,40,21,292,239,225,241,240,149,261,185,231
2641943480,NA,383,216,78,218,302,327,116,59,26,505,429,395,511,442,289,388,379,410
2641943481,NA,34,11,7,45,46,77,18,7,2,266,138,111,183,109,78,95,151,113
2641943482,NA,45,31,16,42,62,68,12,14,4,231,170,110,140,117,82,113,143,107
2641943483,K05376,7648,4427,2782,7823,8634,7978,4906,3267,1691,32813,19037,19299,20204,16046,13089,18562,19169,17775
2641943484,NA,3428,1809,1071,2973,3395,3262,1776,1197,581,12532,7774,7288,7736,6042,4686,7813,7494,6776
2641943485,NA,1262,599,232,988,1254,1235,426,222,76,5083,2783,2434,2751,2070,1486,2728,2852,2587
2641943486,NA,529,233,103,449,475,550,157,106,31,2288,1382,1039,1244,954,687,954,1057,1045
2641943487,K06867,177,96,37,80,82,126,27,13,9,138,119,141,208,153,101,98,114,95
2641943488,NA,562,278,116,365,475,500,20,16,8,624,434,444,263,160,112,215,252,249
