"","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"2746",5.86221590407405,5.92725570212248,4.98561837758514,5.41378868670067,5.53714186364173,5.34798011593321,4.0716880109846,4.92332677081996,4.80473719539285,5.00394384637418,4.83359861281894,4.77069288450188,5.59336747222858,5.41096295155545,5.29758235292687,5.60819491593864,4.81763351510787,5.06552542608403
"2747",2.68737460639446,2.61408354877734,2.79837732279507,2.78061932308176,2.41122884108431,2.24096046024731,2.98396223159595,3.54230923018255,2.87387410805124,2.57091975403697,3.20027113901913,2.82308811148789,2.54796030903583,2.89893535036581,2.80681071021876,2.53346304488969,2.32148606382196,3.06360339535323
"2748",1.48005520064437,1.7961090783566,1.55747288680039,1.71956719269712,1.54947550981309,1.81563203086545,1.56931243856414,1.65254845598836,1.78296953781755,2.01357586137718,2.14265247453987,2.21386683667797,1.79066676946669,2.07328071254637,1.99052963656168,2.14776321676909,2.25426204985384,1.63951340455454
"2749",2.11737973184295,2.26309843467691,1.90192285854028,1.71583970069001,2.08492017761451,2.10936872980896,1.91861040462035,2.25170990429241,1.94806646153378,2.18775522627896,1.68255335743757,1.88392764753914,2.3286737100138,1.98287964384136,1.80440790774196,2.03254896299068,1.82020864763003,2.43877633606786
"2750",2.33513563953713,1.74896732300293,1.49971023400352,1.78651784424673,1.61549357529908,1.94852172824075,1.51148578720325,2.04197490152556,1.7241408418126,2.18950165254383,2.04040091249119,1.81422033009202,1.74853132986555,1.7488284281971,1.51801280964234,1.6816243624165,1.19083828346283,1.88958183327721
"2751",5.48299376357592,5.53198059010973,4.86731055619077,6.07891314088056,5.9102637402974,6.07657592046008,5.43330483651537,4.94947152137993,5.96848893280144,6.39013589542271,6.27488464031244,6.11358288368976,5.81751402005002,5.77476357171026,5.45505055505723,5.61702815079102,5.96541137090221,5.93521567936244
"2752",5.0601647794807,4.85107164629472,5.12054276699234,5.31024342704543,5.12564506045096,5.6578801139784,5.10871322609813,5.65496807121161,5.76556974852945,5.91878804897881,5.21948314227831,5.55766419381619,5.34973067486914,5.29308955708831,5.26631065431255,5.40481505112662,5.54158477266788,5.4839430808069
"2753",2.7608257143985,3.21519700186156,3.70295668156247,3.07334621360409,2.80291868249247,3.03344884377049,3.74441639393136,3.28197896990308,3.13693652925378,2.82296790891545,3.45509623681891,3.41819401199443,3.34671394475297,3.56290934888569,3.60095099151546,3.74495911743595,3.8943963033527,3.69037302687436
"2754",1.58334769332944,1.20672891902108,1.19720596040116,1.28939785558532,1.36120894259204,1.32117630406822,1.20649029845585,1.27149266843376,1.3945112308112,1.77622019662147,1.37977767936769,1.38456966590947,1.50426999528371,1.24263377079612,1.76950318887642,1.32688395432482,1.58887582966987,1.71021901870331
"2755",3.52986404797151,3.63860007027797,3.3944870015984,3.39956552167443,2.9528780610711,3.56961521380459,4.55893886149452,4.66913839151628,4.33316484860394,3.94666299470086,3.89310836195134,3.82162940548219,3.93913838621699,4.29828997273737,4.33107360326088,4.55548990386438,4.29680834465656,4.17163744872682
"2756",1.98229201735531,2.04303566157428,2.08583582915191,1.70637892600858,2.26140298878574,2.02214977882664,2.10600984505402,1.80558491933126,2.20259524274875,2.00600092244924,1.87187183758007,2.05445040449351,2.10284266375492,2.12979789048348,2.45536926473344,2.03110204435378,1.70612288273772,1.85306952915678
"2757",2.10707977699163,2.12101662191295,2.95011637871407,2.5739079891469,2.39407126130902,2.57356652761285,3.78043495216726,2.46969679713701,2.41786393354108,2.47120949328285,2.06913709578657,2.43108809953066,2.56637403764385,2.41888985621598,2.76903201772615,2.5847345080565,2.30481939399004,2.82359595515696
"2758",8.56219996401107,8.44308035238084,8.96514248251906,7.66632159364926,7.5066740984493,7.39993011232773,8.79103793957792,8.65578928077935,8.23930473905939,5.99440265848543,6.21554933542689,5.97375990795134,7.90565997132753,7.97401855408494,8.21295758772162,5.97335881340115,5.68633583665009,5.87518184727414
"2759",1.93882995913205,2.25166584519848,1.8616599026654,1.52657742641706,1.89603086807875,1.54973376591296,1.48511581094526,1.56492560366882,1.69366939036746,1.55259661965804,1.69866195906187,1.79109907869721,1.79671259258055,1.80483086238333,1.72752924404364,2.08563867499644,1.42711044805839,1.77351653691132
"2760",6.08451522073826,6.07745076736731,6.43367130684605,6.36713530287719,6.20783182404903,6.29580575943471,6.01516509504072,6.86403684546644,6.16867566001405,6.22084558658233,6.2313048465512,6.22675423731124,5.70603139633342,5.73628636653819,5.96919631386684,6.1478700677613,6.1812627402033,6.04002878028332
"2761",2.40673858198547,2.05423975379345,2.05609606095242,2.08075023952449,2.29603650016206,2.14442332814125,2.2593860409452,2.41376820464665,2.12507430475503,1.98371607796406,2.08418330884853,2.3946714003333,2.54224722691135,2.17368083432467,2.32968265231723,1.85953015346915,2.29109136308845,2.49069150762938
"2762",1.71683530019307,1.56382701618992,1.43991942691492,1.49582564577681,1.77948171963455,1.6264261134558,1.85222364476295,1.98307719851702,1.66057320908557,1.87658793708668,2.13216934519376,1.85183240332901,1.84256837570383,1.61813364067084,1.99583885863615,1.41124788423211,1.50768615312198,1.42398331108975
"2763",5.34435693360824,5.21676146398136,5.14789312679009,4.5983890722606,4.79099812626938,4.8069022282915,5.20819999453637,4.88529254135894,5.14497713397045,4.5881891947446,4.83623196497835,4.80184524176223,4.91425343509319,4.52929026000721,4.62425757569418,4.59142421187219,4.6898187668347,4.66155455024463
"2764",7.87864830253431,7.67925539076858,7.29866381267489,7.7317973860429,7.64145478348307,7.75595721840195,7.04932276006088,7.02776983783682,6.62401056290253,7.67240075460874,7.51010260657025,7.40031888129645,7.62381212296934,7.60611504524032,7.52349047560715,7.42375182846187,7.59890497788438,7.40618258045947
"2765",3.39701181427537,3.02446133708338,2.73022201793665,3.57031135664554,3.34558475110502,3.67267430229695,2.75526999653097,3.13175052051983,2.95475203795746,3.43301540804073,2.86460770403127,3.2274163413135,3.22136907675222,3.50904256850341,3.07241408378239,2.95719392791806,2.92215275340289,2.75627930040945
"2766",2.15565506767621,2.05246886672913,1.45012889442074,2.13484104465429,1.57446641060956,1.91099789237082,1.66920347329275,1.77469405014757,1.67135217584437,2.49067195293038,1.7699234946218,1.37933111196441,1.55553158726462,1.33264194468531,1.59764329227691,1.64179620678601,1.28016979969553,1.54942122607346
"2767",1.86239005114332,1.50804404587551,1.76702116458369,1.56663769496841,1.51360143620363,1.92237132196263,1.59337733669868,1.46193192860981,1.58850951753144,1.81952462974138,1.86344928088575,1.94200800882319,1.41684587100767,1.38407600877297,1.53565975542765,1.76755162502601,1.45818214107791,1.37559444024016
"2768",5.5240818045309,5.37333756566533,4.90541507964902,5.45809285882072,5.8284486473698,5.88721440150878,4.79430748707377,5.12428696665698,5.30924406136678,5.72417047902024,5.22360807130532,5.9736909978088,5.63199728131415,5.39115931012366,4.88321150033599,5.44593105035822,5.29547937557416,5.29017458467311
"2769",10.7181799256386,11.0039301978741,11.5399968362544,11.3028950759012,11.2246693978907,10.9941211486746,11.8066209673488,11.8408948364241,12.3140536968557,11.7432002674158,11.6649392419225,11.6687644910513,11.191910474042,11.1457257638463,11.3656609400382,11.5792372647609,11.4345518313138,11.419797079411
"2770",8.30005809303704,7.84181202063756,7.42104450497778,8.12248496290325,7.86997411048261,8.1962590195912,7.68753395811153,7.1200248336345,7.25947591963643,8.32988330299,8.39124990411783,8.47942459277316,8.20169980893092,8.11049465208024,7.80726471950872,7.90488389913993,8.02119184621082,7.8258374342987
"2771",6.63937884083996,6.98245441943991,7.2286241761402,6.84219054569779,6.96419476542454,6.88879449109747,6.26586353240336,6.24887759387057,6.62966567534828,5.61986858527351,5.89511446134215,6.17759376123211,5.20204515349936,5.31781407294586,5.28536192404833,5.66510316867761,5.62432099210866,5.79161691625243
"2772",4.8462587342851,4.62352424308552,4.54744346803211,4.29451545048705,4.58443331535487,4.78683893926614,4.92783930478821,4.55253927914862,4.43643799343833,4.68740339964653,4.83706175539202,4.51633263462267,5.00062641622064,4.79390640492055,4.57609144579144,4.72383425028722,4.49544381716774,4.7342100983568
"2773",4.93408312231255,4.94367418190786,4.42247815387039,4.54987568501658,4.84040288513315,4.9491362514191,4.37086501352115,4.86697944854933,4.54658240896026,5.13887786085033,5.15966557850502,5.05866419326289,5.05237759188681,4.98832123311285,5.04095310322054,4.04856043549792,5.0282566576736,4.74330993969438
"2774",5.07248494669466,5.07472815204225,5.34956781723157,5.18337268375562,5.26144073175666,4.97295584090518,5.22969625413158,5.22052931877576,5.00666115191558,4.85093834554788,4.46953059194052,5.02056353322138,4.65854523989365,4.93364746702066,4.63949275337681,4.32499447111762,4.45603615416662,4.7666995426059
"2775",5.77878817650113,5.86591945932838,5.19324386906643,4.66939621022524,5.25636876412888,5.18885667963268,4.44130550537507,5.25049445705475,5.22864346495263,4.61400187256581,4.4198042047952,4.70157141738301,4.88805671476852,4.98774028232565,5.10875083469381,4.41588679110872,4.90468277422345,4.83961834168725
"2776",7.23353421434986,7.14851977907256,6.69624602993263,7.52702255786899,7.32968537994774,7.55694172115592,6.48434464620193,6.37029902531363,6.87496322397162,7.28979973275642,7.15458258581312,7.23939665300904,7.27902738007476,7.11659229957948,6.84475832525708,7.05962607170639,7.05025278029264,7.0025628910191
"2777",3.35779793977911,3.45601966157604,4.21440281742446,3.53974710567412,4.1911403666925,4.19646509637948,3.91573638598817,3.9358601798045,4.80702458376718,4.24000990669527,4.50541110281262,4.65121846650332,4.46206476676969,4.96711524751152,5.06894468571373,4.94227397056111,4.77268036504511,4.98173384489006
"2778",3.6399661272169,3.98690073788837,4.30802342348643,4.48942335712367,4.09979619919339,3.69255470835643,4.86899959673972,4.50318668846556,4.18150403629024,4.69623274963529,4.04381413086873,4.36672434519374,4.21310562551193,4.31832931083681,4.51592094496108,4.63326794717326,4.61008802556177,4.7262996490839
"2779",6.21805454032605,6.54703803294044,7.10345467222053,6.67846565912923,6.57475141827647,6.55308268995876,6.60122232565075,6.68579467957045,6.84221388844787,6.48345823610252,6.41528401694864,6.16460189839514,5.91643483479607,5.90067422183139,6.23367692418467,6.57371320291788,6.48659490850175,6.66288987150159
"2780",5.72969225273702,5.39393834705787,4.68128416469306,5.30238538346711,5.21417853559204,5.50139551471072,3.98839139132856,4.84088824144703,4.4715991013281,5.09301345649679,5.08656652242349,4.78536867116114,5.29255124721404,5.06612541144909,4.94896408991275,5.080395595071,4.75238661504046,4.81609781589657
"2781",2.63263304903312,2.99846520267752,3.45823664588456,2.46851991258303,2.6752282541195,2.4130445677797,3.23516231305103,2.76273851118139,3.50024997036247,2.5742358456164,3.27817938210904,2.83035713860455,2.47973572456178,3.2225809312549,3.17624336394699,2.77068868024088,3.243894998572,2.7969014701007
"2782",5.11769921585408,5.1287427517126,4.62399018484769,4.75927453703773,4.93342309259809,4.80734753684452,4.58870212406154,4.53865973189203,5.00482386690855,3.968627114689,4.49541383156926,4.38549008016285,4.53299452738552,4.58278678262408,4.5685976973122,4.36854845251093,4.48758769132057,4.60817603720195
"2783",1.98168704017228,1.81996621652506,1.9019376995839,2.21898282177228,2.23936772501155,2.34013534231852,2.29885718271088,2.02291333484191,2.17181686529732,2.66570076924435,2.41586106368416,2.61126978070128,2.18088580191837,2.34046944387735,2.07427846556631,2.69022890778039,3.14076353097203,1.79642968217118
"2784",9.52559533871696,9.43462548446989,9.26032081808679,9.65569362841966,9.67847876752717,9.76950908071372,9.7004466759739,9.58654063985703,8.86653639480818,9.61940239549487,9.528918910008,9.57462147300707,9.38538813555383,9.53762428239082,9.60733504737805,9.66223222771335,9.86141706310517,9.99348372363493
"2785",4.79671193787037,3.9473590347071,3.90304292926876,4.38978700332182,4.44034309006051,4.88584199918189,4.06653715910686,4.53881879463825,4.00916776408904,4.65857689484642,4.57111984797402,4.18805451662827,4.97935549248834,4.52099527642017,4.49999010561352,4.19128504749737,3.93407404795255,4.60265885296247
"2786",4.48569919745697,4.70110279019046,4.65809698905244,4.54115042233008,4.54854656608718,4.80058861235508,5.03384517295379,5.41105208369347,5.20235410973089,4.90831830753024,4.78328862938387,5.16700555170635,5.12654691296693,5.07247707648724,5.24490937430617,4.92395692544212,5.22343728085319,5.17506561607999
"2787",2.5198743174032,3.22707585450279,3.85400888501184,3.24037544574875,3.33694257374142,3.23768307414029,3.5276937323201,3.49160939734471,4.86925474945941,3.08156409660994,3.01186069346992,3.02231520785077,3.55918143965678,3.15781614879224,3.57366636339152,3.25187568975628,3.38990962115171,3.67660254131612
